utc	sat_x_km	sat_y_km	sat_z_km	sun_x_km	sun_y_km	sun_z_km	moon_x_km	moon_y_km	moon_z_km
2033-01-01 00:00:00	0	6928.1	0	26579123	-132747145	-57541267	30725.2	-350949.7	-119280.6
2033-01-01 00:09:17	-3949.13	5681.84	345.92	26595725	-132744334	-57540048	31311.3	-350886.5	-119234.2
2033-01-01 00:18:34	-6477.51	2391.42	567.06	26612327	-132741522	-57538829	31897.3	-350822.5	-119187.4
2033-01-01 00:27:51	-6675.52	-1759.36	583.64	26628928	-132738707	-57537609	32483.3	-350757.7	-119140.3
2033-01-01 00:37:08	-4471.92	-5277.18	389.7	26645529	-132735891	-57536388	33069.2	-350692	-119093
2033-01-01 00:46:25	-659.49	-6896.42	55.17	26662130	-132733074	-57535167	33655	-350625.5	-119045.4
2033-01-01 00:55:43	3390.2	-6034.53	-299.25	26678730	-132730254	-57533944	34240.7	-350558.1	-118997.4
2033-01-01 01:05:00	6220.22	-3001.6	-545.73	26695330	-132727433	-57532721	34826.3	-350489.9	-118949.2
2033-01-01 01:14:17	6812.44	1111.22	-595.35	26711930	-132724610	-57531498	35411.9	-350420.8	-118900.8
2033-01-01 01:23:34	4953.79	4824.26	-430.21	26728529	-132721785	-57530273	35997.4	-350350.9	-118852
2033-01-01 01:32:51	1312.95	6801.67	-109.89	26745128	-132718959	-57529048	36582.8	-350280.1	-118802.9
2033-01-01 01:42:08	-2800.24	6332.04	250.08	26761727	-132716131	-57527822	37168.1	-350208.5	-118753.6
2033-01-01 01:51:26	-5906.01	3584.33	519.83	26778325	-132713301	-57526595	37753.3	-350136	-118704
2033-01-01 02:00:43	-6887.01	-452.92	602.07	26794923	-132710469	-57525368	38338.4	-350062.7	-118654.1
2033-01-01 02:10:00	-5390.32	-4327.21	467.13	26811521	-132707636	-57524140	38923.5	-349988.6	-118603.9
2033-01-01 02:19:17	-1954.39	-6644.71	163.68	26828118	-132704801	-57522911	39508.4	-349913.6	-118553.4
2033-01-01 02:28:34	2184.66	-6571.63	-198.81	26844715	-132701964	-57521681	40093.3	-349837.8	-118502.6
2033-01-01 02:37:52	5537.75	-4134.28	-489.58	26861311	-132699125	-57520450	40678	-349761.1	-118451.5
2033-01-01 02:47:09	6898.56	-209.53	-603.75	26877907	-132696285	-57519219	41262.7	-349683.5	-118400.2
2033-01-01 02:56:26	5777.53	3790.6	-500.13	26894503	-132693443	-57517987	41847.2	-349605.2	-118348.6
