# Crystal Eye Ground Track  |  i=5  |  h=550 km
# Inizio missione: 2031-01-01 00:00:00 UTC
# Passo temporale: 8 s  |  Durata: 95.65 min (1 orbita)
#
# Colonne:
#   UTC_datetime       : timestamp ISO 8601
#   X_ECI_km           : posizione ECI asse X (km)
#   Y_ECI_km           : posizione ECI asse Y (km)
#   Z_ECI_km           : posizione ECI asse Z (km)
#   X_ECEF_km          : posizione ECEF asse X (km)
#   Y_ECEF_km          : posizione ECEF asse Y (km)
#   Z_ECEF_km          : posizione ECEF asse Z (km)
#   lat_deg            : latitudine geocentrica (gradi)
#   lon_deg            : longitudine (gradi)
#   alt_km             : altitudine sul geoide (km)
#
UTC_datetime              X_ECI_km      Y_ECI_km      Z_ECI_km     X_ECEF_km     Y_ECEF_km     Z_ECEF_km     lat_deg     lon_deg      alt_km
2031-01-01T00:00:00         0.0000     6928.1000        0.0000        0.0000     6928.1000        0.0000      0.0000     90.0000    550.0000
2031-01-01T00:00:08       -60.3660     6927.8350        5.2886      -56.3245     6927.8690        5.2886      0.0437     90.4658    550.0000
2031-01-01T00:00:16      -120.7274     6927.0400       10.5768     -112.6452     6927.1761       10.5768      0.0875     90.9316    550.0000
2031-01-01T00:00:24      -181.0795     6925.7150       15.8642     -168.9585     6926.0213       15.8642      0.1312     91.3974    550.0000
2031-01-01T00:00:32      -241.4178     6923.8602       21.1504     -225.2605     6924.4047       21.1504      0.1749     91.8633    550.0000
2031-01-01T00:00:40      -301.7376     6921.4757       26.4350     -281.5475     6922.3263       26.4350      0.2186     92.3291    550.0000
2031-01-01T00:00:48      -362.0343     6918.5616       31.7175     -337.8157     6919.7864       31.7175      0.2623     92.7949    550.0000
2031-01-01T00:00:56      -422.3033     6915.1183       36.9976     -394.0614     6916.7851       36.9976      0.3060     93.2607    550.0000
2031-01-01T00:01:04      -482.5401     6911.1459       42.2749     -450.2809     6913.3226       42.2749      0.3496     93.7265    550.0000
2031-01-01T00:01:12      -542.7399     6906.6448       47.5489     -506.4705     6909.3991       47.5489      0.3932     94.1924    550.0000
2031-01-01T00:01:20      -602.8982     6901.6153       52.8193     -562.6262     6905.0149       52.8193      0.4368     94.6582    550.0000
